name,option1,option2,option3,option4,answer,money
Which planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,3,1000
Who is known as the Father of the Indian Constitution?,Mahatma Gandhi,Dr. B.R. Ambedkar,Sardar Patel,Jawaharlal Nehru,2,2000
 What is the largest lake in the world?,Caspian Sea,Baikal,Lake Superior,Ontario,2,3000
Which device converts electrical energy into mechanical energy?,Generator,Motor,Transformer,Computer Power Unit,2,5000
 Entomology is the science that studies?,Behavior of human beings,Insects,The origin and history of technical and scientific terms,The formation of rocks,2,10000
 When the First Afghan War took place in,1872,1900,1822,1839,4,20000
Who wrote the “Great Gatsby” no,Leo Tolstoy,Hemingway,Paolo Coelho,Scott Fritzgerald,4,40000
Which Indian missile is named after a legendary weapon of Lord Rama?,Agni,Prithvi,Astra,BrahMos,4,80000
What is Schwartzchild radius?,The actual physical radius of any given celestial object.,The radius at which an object's escape velocity equals the speed of sound., The average radius of a typical star like the Sun,Radius of a Blackhole from Event Horizon to its centre,4,160000
Which part of the human brain controls balance and posture?,Cerebrum,Cerebellum,Medulla,Thalamus,2,320000
Who was the first woman Prime Minister of India?,Indira Gandhi,Sarojini Naidu,Pratibha Patil,Kiran Bedi,1,640000
Which vitamin is produced in the human body when exposed to sunlight?,Vitamin A,Vitamin B12,Vitamin D,Vitamin C,3,1250000
Who gave the theory of relativity?,Isaac Newton,Albert Einstein,Stephen Hawking,Galileo Galilei,2,2500000
Which Indian physicist is known for the discovery of the Raman Effect?,C.V. Raman,Homi Bhabha,S.N. Bose,Vikram Sarabhai,1,5000000
Which is the hardest natural substance on Earth?,Iron,Diamond,Quartz,Graphite,2,10000000
